rank,name,mean_points,std_points,median_points,mean_wins,mean_draws,mean_losses,mean_gd,title_pct,ucl_direct_pct,ucl_playoff_pct,europe_pct,playoff_16th_pct,relegation_pct
1,"Paris Saint-Germain",92.14,4.44,92,29.82,2.69,1.50,104.68,99.78,100.00,0.00,0.00,0.00,0.00
2,"LOSC Lille",66.78,6.82,67,20.16,6.29,7.55,33.65,0.11,58.51,16.29,19.17,0.00,0.00
3,"Olympique de Marseille",64.36,6.92,64,19.29,6.49,8.22,28.97,0.05,43.46,18.49,26.85,0.00,0.00
4,"RC Lens",62.95,6.97,63,18.78,6.60,8.62,26.29,0.03,35.17,18.33,30.98,0.00,0.00
5,"Olympique lyonnais",61.07,7.02,61,18.11,6.73,9.16,22.79,0.01,25.41,16.68,35.08,0.00,0.00
6,"AS Monaco",60.47,7.05,61,17.90,6.77,9.33,21.69,0.01,22.75,15.88,35.68,0.00,0.00
7,"Stade rennais FC",57.74,7.12,58,16.94,6.93,10.13,16.73,0.00,13.09,11.61,34.55,0.01,0.00
8,"RC Strasbourg",49.48,7.17,49,14.09,7.21,12.70,2.06,0.00,1.45,2.30,12.82,0.23,0.13
9,"Toulouse FC",41.83,7.08,42,11.55,7.19,15.26,-11.55,0.00,0.09,0.22,2.14,2.38,2.03
10,"OGC Nice",39.69,7.04,40,10.85,7.14,16.01,-15.45,0.00,0.04,0.09,1.10,3.98,3.86
11,"Paris FC",38.70,7.00,39,10.53,7.11,16.36,-17.27,0.00,0.02,0.06,0.80,4.90,5.08
12,"FC Lorient",36.57,6.93,36,9.85,7.02,17.13,-21.25,0.00,0.01,0.03,0.37,7.27,8.83
13,"Stade brestois 29",35.90,6.90,36,9.64,6.99,17.37,-22.53,0.00,0.01,0.02,0.28,8.22,10.32
14,"ESTAC Troyes",32.40,6.75,32,8.54,6.78,18.68,-29.33,0.00,0.00,0.00,0.07,12.94,22.39
15,"AJ Auxerre",31.00,6.67,31,8.10,6.69,19.21,-32.15,0.00,0.00,0.00,0.04,14.42,29.23
16,"Le Havre AC",29.89,6.60,30,7.76,6.60,19.63,-34.44,0.00,0.00,0.00,0.02,15.17,35.44
17,"Angers SCO",29.68,6.59,30,7.70,6.58,19.72,-34.89,0.00,0.00,0.00,0.02,15.28,36.66
18,"Le Mans FC",28.21,6.50,28,7.25,6.46,20.29,-37.97,0.00,0.00,0.00,0.01,15.20,46.03
