Match_ID,Season,Competition,Matchday,Date,Home_Team,Away_Team,Venue
L1-2026-27-001,2026-2027,Ligue 1 McDonald's,Journée 1,2026-08-22,Angers SCO,LOSC Lille,Stade Raymond-Kopa
L1-2026-27-002,2026-2027,Ligue 1 McDonald's,Journée 1,2026-08-22,Le Havre AC,AS Monaco,Stade Océane
L1-2026-27-003,2026-2027,Ligue 1 McDonald's,Journée 1,2026-08-22,Le Mans FC,Stade brestois 29,Stade Marie-Marvingt
L1-2026-27-004,2026-2027,Ligue 1 McDonald's,Journée 1,2026-08-22,RC Lens,AJ Auxerre,Stade Bollaert-Delelis
L1-2026-27-005,2026-2027,Ligue 1 McDonald's,Journée 1,2026-08-22,Olympique de Marseille,RC Strasbourg,Orange Vélodrome
L1-2026-27-006,2026-2027,Ligue 1 McDonald's,Journée 1,2026-08-22,OGC Nice,FC Lorient,Allianz Riviera
L1-2026-27-007,2026-2027,Ligue 1 McDonald's,Journée 1,2026-08-22,Stade rennais FC,Paris Saint-Germain,Roazhon Park
L1-2026-27-008,2026-2027,Ligue 1 McDonald's,Journée 1,2026-08-22,Toulouse FC,Olympique lyonnais,Stadium de Toulouse
L1-2026-27-009,2026-2027,Ligue 1 McDonald's,Journée 1,2026-08-22,ESTAC Troyes,Paris FC,Stade de l'Aube
L1-2026-27-010,2026-2027,Ligue 1 McDonald's,Journée 2,2026-08-29,AJ Auxerre,Angers SCO,Stade de l'Abbé-Deschamps
L1-2026-27-011,2026-2027,Ligue 1 McDonald's,Journée 2,2026-08-29,Stade brestois 29,Toulouse FC,Stade Francis-Le Blé
L1-2026-27-012,2026-2027,Ligue 1 McDonald's,Journée 2,2026-08-29,LOSC Lille,Paris Saint-Germain,Decathlon Arena - Stade Pierre-Mauroy
L1-2026-27-013,2026-2027,Ligue 1 McDonald's,Journée 2,2026-08-29,FC Lorient,ESTAC Troyes,Stade du Moustoir
L1-2026-27-014,2026-2027,Ligue 1 McDonald's,Journée 2,2026-08-29,Olympique lyonnais,Le Havre AC,Groupama Stadium
L1-2026-27-015,2026-2027,Ligue 1 McDonald's,Journée 2,2026-08-29,AS Monaco,Olympique de Marseille,Stade Louis-II
