Rank,Team,Country,Pot,MarketValue_M_Eur,UEFA_Coeff,Exp_Points,Std_Points,Exp_GD,Exp_GF,Exp_GA,Top8_Pct,Playoff_Pct,Eliminated_Pct,Title_Pct,Mean_Position
1,"Bayern Munich",GER,1,1040.00,147.500,17.84,3.15,12.31,20.17,7.86,79.62,20.02,0.36,18.30,5.43
2,"Real Madrid",ESP,1,1460.00,144.500,17.49,3.16,12.53,20.57,8.04,76.83,22.76,0.41,15.96,5.83
3,"Liverpool",ENG,1,1030.00,130.000,17.39,3.19,11.52,19.67,8.15,75.31,24.19,0.51,14.45,6.07
4,"Paris Saint-Germain",FRA,1,1360.00,132.000,16.92,3.22,10.75,19.22,8.48,70.32,28.94,0.74,11.68,6.78
5,"Manchester City",ENG,1,1460.00,125.500,16.36,3.29,9.76,18.56,8.81,63.57,35.27,1.16,9.06,7.69
6,"Barcelona",ESP,1,1260.00,113.250,16.26,3.20,10.09,19.01,8.91,63.08,35.93,1.00,8.27,7.75
7,"Arsenal",ENG,1,1370.00,119.000,15.81,3.30,9.48,18.64,9.17,57.65,40.73,1.62,7.09,8.54
8,"Inter Milan",ITA,1,730.30,127.000,15.29,3.36,7.27,16.91,9.64,50.07,47.14,2.80,4.84,9.69
9,"Borussia Dortmund",GER,2,564.45,100.750,13.99,3.39,5.04,15.66,10.62,34.02,59.86,6.12,1.92,12.30
10,"Sporting CP",POR,2,378.70,84.000,13.61,3.44,4.74,15.55,10.81,30.59,61.75,7.66,1.66,13.03
11,"PSV Eindhoven",NED,2,280.60,71.250,13.23,3.48,3.41,14.60,11.18,26.33,63.67,10.00,1.23,13.99
12,"Porto",POR,2,451.30,80.750,13.18,3.50,3.45,14.58,11.13,26.17,63.58,10.25,1.33,14.06
13,"Atlético Madrid",ESP,1,681.20,104.750,12.88,3.48,3.17,14.50,11.33,23.39,65.03,11.58,1.15,14.65
14,"Napoli",ITA,3,432.58,63.000,12.02,3.33,1.36,13.83,12.48,14.93,68.59,16.47,0.40,16.64
15,"Manchester United",ENG,2,924.30,76.500,11.87,3.47,1.89,13.92,12.03,15.44,66.30,18.26,0.54,16.86
16,"Fenerbahçe",TUR,3,293.20,57.750,11.70,3.56,1.02,13.12,12.11,14.40,65.07,20.53,0.47,17.37
17,"Galatasaray",TUR,3,417.75,53.500,11.42,3.49,0.31,12.92,12.61,12.27,65.12,22.60,0.34,18.00
18,"Aston Villa",ENG,2,586.30,83.000,11.34,3.48,0.48,13.06,12.58,12.05,64.92,23.03,0.35,18.12
19,"Roma",ITA,2,484.60,97.750,11.05,3.45,-0.21,12.75,12.96,10.10,64.22,25.68,0.26,18.83
20,"RB Leipzig",GER,3,512.95,61.000,10.34,3.49,-1.51,11.99,13.50,7.12,59.31,33.56,0.15,20.47
21,"Feyenoord",NED,3,204.23,71.000,9.86,3.49,-2.35,11.56,13.92,5.55,55.38,39.07,0.10,21.57
22,"Lille",FRA,3,245.10,68.750,9.82,3.45,-2.34,11.61,13.96,5.19,55.43,39.39,0.10,21.65
23,"Slavia Prague",CZE,4,113.35,44.000,9.47,3.34,-3.21,11.44,14.64,3.82,52.88,43.31,0.06,22.49
24,"VfB Stuttgart",GER,4,395.95,27.500,9.42,3.39,-3.14,11.33,14.47,3.96,52.00,44.05,0.06,22.57
25,"Club Brugge",BEL,2,199.00,75.250,9.08,3.42,-3.57,11.02,14.59,3.43,48.49,48.07,0.05,23.26
26,"Villarreal",ESP,3,331.60,59.000,9.01,3.25,-3.59,11.42,15.01,2.90,48.06,49.04,0.04,23.44
27,"Shakhtar Donetsk",UKR,3,189.60,56.250,8.99,3.38,-3.73,11.00,14.73,3.17,47.56,49.27,0.04,23.48
28,"Bodø/Glimt",NOR,3,76.28,64.000,8.85,3.34,-4.16,10.96,15.11,2.71,46.04,51.25,0.03,23.84
29,"Real Betis",ESP,2,254.60,74.500,8.76,3.41,-4.33,10.70,15.03,2.74,45.07,52.18,0.04,24.01
30,"Como",ITA,4,536.75,19.989,8.10,3.33,-5.65,10.24,15.89,1.60,38.05,60.35,0.02,25.47
31,"Lens",FRA,4,203.20,16.699,7.16,3.22,-7.38,9.53,16.91,0.75,27.85,71.40,0.01,27.39
32,"Slovan Bratislava",SVK,4,35.14,36.000,6.90,3.18,-8.45,9.29,17.74,0.52,24.91,74.56,0.00,28.01
33,"AEK Athens",GRE,4,84.70,24.000,6.22,2.96,-9.89,8.95,18.83,0.24,17.46,82.31,0.00,29.36
34,"Viking",NOR,4,50.20,8.247,5.69,2.83,-10.65,8.63,19.28,0.13,12.89,86.98,0.00,30.30
35,"LASK",AUT,4,47.90,21.000,4.03,2.60,-15.87,7.17,23.04,0.01,4.06,95.92,0.00,32.90
36,"Sabah",AZE,4,18.35,6.000,2.96,2.33,-18.53,6.40,24.93,0.00,1.48,98.52,0.00,34.19
